left_state_id,right_state_id,left_state,right_state,left_shift,right_shift,shift_gap,left_decision_value,right_decision_value,decision_value_ratio,decision_value_absolute_gap,absolute_gap_threshold
pichincha-pichincha-context-2-20130128,pichincha-pichincha-context-1-20150629,Pichincha,Pichincha,0.0789417926695608,0.0669723000018072,0.0119694926677536,83075.27032365827,782765.9472846673,9.422370149805582,699690.676961009,25778.034410069406
pichincha-pichincha-context-2-20130128,guayas-guayas-context-1-20150914,Pichincha,Guayas,0.0789417926695608,0.048287122462997,0.03065467020656381,83075.27032365827,161573.4474758504,1.94490426388462,78498.17715219213,25778.034410069406
pichincha-pichincha-context-2-20130128,guayas-guayas-context-2-20150914,Pichincha,Guayas,0.0789417926695608,0.1146043687227492,0.0356625760531884,83075.27032365827,1277784.5754080545,15.381046253955619,1194709.3050843962,25778.034410069406
pichincha-pichincha-context-2-20130128,guayas-guayas-context-1-20160530,Pichincha,Guayas,0.0789417926695608,0.0899821705260452,0.011040377856484387,83075.27032365827,289362.40658683283,3.4831352995841875,206287.13626317456,25778.034410069406
pichincha-pichincha-context-2-20130128,pichincha-pichincha-context-1-20161205,Pichincha,Pichincha,0.0789417926695608,0.0474381483374626,0.03150364433209821,83075.27032365827,744437.5761667485,8.961000948494616,661362.3058430903,25778.034410069406
guayas-guayas-context-2-20140825,guayas-guayas-context-1-20151123,Guayas,Guayas,-0.0840693794723636,-0.0447213586813049,0.03934802079105871,11924.839170160238,5018.770399596309,2.376047960097841,6906.068770563928,25778.034410069406
pichincha-pichincha-context-2-20141124,pichincha-pichincha-context-1-20151123,Pichincha,Pichincha,-0.0220904605872416,0.0112829153095316,0.033373375896773194,5327.263839526509,27257.284359561745,5.116563620769417,21930.020520035236,25778.034410069406
guayas-guayas-context-2-20141229,guayas-guayas-context-1-20151123,Guayas,Guayas,-0.0946450237278659,-0.0447213586813049,0.049923665046561004,16320.172823001398,5018.770399596309,3.2518269463600347,11301.402423405088,25778.034410069406
pichincha-pichincha-context-1-20150629,guayas-guayas-context-1-20150914,Pichincha,Guayas,0.0669723000018072,0.048287122462997,0.01868517753881021,782765.9472846673,161573.4474758504,4.844644708108141,621192.4998088169,25778.034410069406
pichincha-pichincha-context-1-20150629,guayas-guayas-context-2-20150914,Pichincha,Guayas,0.0669723000018072,0.1146043687227492,0.047632068720942,782765.9472846673,1277784.5754080545,1.6323967334559644,495018.6281233872,25778.034410069406
pichincha-pichincha-context-1-20150629,guayas-guayas-context-1-20160530,Pichincha,Guayas,0.0669723000018072,0.0899821705260452,0.023009870524237988,782765.9472846673,289362.40658683283,2.7051404379641566,493403.54069783445,25778.034410069406
pichincha-pichincha-context-1-20150629,pichincha-pichincha-context-1-20161205,Pichincha,Pichincha,0.0669723000018072,0.0474381483374626,0.019534151664344607,782765.9472846673,744437.5761667485,1.0514863466662696,38328.37111791875,25778.034410069406
guayas-guayas-context-1-20150914,pichincha-pichincha-context-1-20151123,Guayas,Pichincha,0.048287122462997,0.0112829153095316,0.0370042071534654,161573.4474758504,27257.284359561745,5.927716251717171,134316.16311628866,25778.034410069406
guayas-guayas-context-1-20150914,guayas-guayas-context-1-20160530,Guayas,Guayas,0.048287122462997,0.0899821705260452,0.0416950480630482,161573.4474758504,289362.40658683283,1.7909032152704571,127788.95911098243,25778.034410069406
guayas-guayas-context-1-20150914,pichincha-pichincha-context-1-20161205,Guayas,Pichincha,0.048287122462997,0.0474381483374626,0.0008489741255343977,161573.4474758504,744437.5761667485,4.6074252161885445,582864.1286908982,25778.034410069406
guayas-guayas-context-2-20150914,guayas-guayas-context-1-20160530,Guayas,Guayas,0.1146043687227492,0.0899821705260452,0.024622198196704012,1277784.5754080545,289362.40658683283,4.415862414472326,988422.1688212217,25778.034410069406
guayas-guayas-context-2-20150914,guayas-guayas-context-2-20161219,Guayas,Guayas,0.1146043687227492,0.1328296901915801,0.018225321468830907,1277784.5754080545,2355042.00666527,1.8430665481411044,1077257.4312572153,25778.034410069406
pichincha-pichincha-context-1-20151123,pichincha-pichincha-context-1-20161205,Pichincha,Pichincha,0.0112829153095316,0.0474381483374626,0.036155233027931,27257.284359561745,744437.5761667485,27.311509332572335,717180.2918071868,25778.034410069406
guayas-guayas-context-1-20160530,pichincha-pichincha-context-1-20161205,Guayas,Pichincha,0.0899821705260452,0.0474381483374626,0.042544022188582595,289362.40658683283,744437.5761667485,2.57268241907352,455075.1695799157,25778.034410069406
guayas-guayas-context-1-20160530,guayas-guayas-context-2-20161219,Guayas,Guayas,0.0899821705260452,0.1328296901915801,0.04284751966553492,289362.40658683283,2355042.00666527,8.138728297307553,2065679.600078437,25778.034410069406
guayas-guayas-context-2-20170814,pichincha-pichincha-context-2-20170814,Guayas,Pichincha,-0.7055085082950222,-0.7111994515769916,0.005690943281969396,89103.24508692685,37044.62877184876,2.4052945876633776,52058.61631507809,25778.034410069406
